news_headline,news_article,news_category,full_text,clean_text
US lawmakers call for sanctions against Israel's NSO Group: Report,"A group of lawmakers in the US have asked the Treasury Department and State Department to sanction Israeli spyware firm NSO Group and three other foreign surveillance companies, Reuters reported. In a letter, the lawmakers have also asked for sanctions on NSO's executives. The letter says the companies facilitated the ""disappearance, torture and murder of human rights activists and journalists"".",technology,"US lawmakers call for sanctions against Israel's NSO Group: Report. A group of lawmakers in the US have asked the Treasury Department and State Department to sanction Israeli spyware firm NSO Group and three other foreign surveillance companies, Reuters reported. In a letter, the lawmakers have also asked for sanctions on NSO's executives. The letter says the companies facilitated the ""disappearance, torture and murder of human rights activists and journalists"".",lawmaker call sanction israels nso group report group lawmaker ask treasury department state department sanction israeli spyware firm nso group three foreign surveillance company reuter report letter lawmaker also ask sanction nso executive letter say company facilitate disappearance torture murder human right activist journalist
Time to pay taxes: US lawmaker as Musk named TIME Person of the Year,"After the world's richest person and Tesla and SpaceX CEO Elon Musk was named TIME magazine's '2021 Person of the Year', US lawmaker Pramila Jayapal said, ""It's *TIME* for him to pay his fair share in taxes."" US Senator Elizabeth Warren tweeted, ""Let's change the rigged tax code so [Musk] will actually pay taxes and stop freeloading off everyone else.""",technology,"Time to pay taxes: US lawmaker as Musk named TIME Person of the Year. After the world's richest person and Tesla and SpaceX CEO Elon Musk was named TIME magazine's '2021 Person of the Year', US lawmaker Pramila Jayapal said, ""It's *TIME* for him to pay his fair share in taxes."" US Senator Elizabeth Warren tweeted, ""Let's change the rigged tax code so [Musk] will actually pay taxes and stop freeloading off everyone else.""",time pay taxis lawmaker musk name time person year world rich person tesla spacex ceo elon musk name time magazine person year lawmaker pramila jayapal say time pay fair share taxis us senator elizabeth warren tweet let change rig tax code [ musk ] actually pay taxis stop freeload everyone else
German politician calls for ban on Telegram over extremist content,"German politician Boris Pistorius has said that Germany should order messaging app Telegram to be removed from app stores if it continues to ignore requests to help track down extremist content. ""We must urgently talk to them [Apple and Google] and persuade them to stop distributing Telegram,"" he added. Telegram has been blamed in Germany for promoting anti-vaccine conspiracy theorists.",technology,"German politician calls for ban on Telegram over extremist content. German politician Boris Pistorius has said that Germany should order messaging app Telegram to be removed from app stores if it continues to ignore requests to help track down extremist content. ""We must urgently talk to them [Apple and Google] and persuade them to stop distributing Telegram,"" he added. Telegram has been blamed in Germany for promoting anti-vaccine conspiracy theorists.",german politician call ban telegram extremist content german politician boris pistorius say germany order message app telegram remove app store continue ignore request help track extremist content must urgently talk [ apple google ] persuade stop distribute telegram add telegram blame germany promote anti vaccine conspiracy theorist
"Apple to limit occupancy, mandate masks at US stores amid Omicron fears","Apple is reinstating its mask mandate at US stores and will limit store occupancy amid Omicron COVID-19 variant scare. ""Amid rising cases...we now require that all customers join our team members in wearing masks while visiting our stores,"" Apple said. ""We will adjust our health measures in stores to support the well-being of customers and employees,"" it added.",technology,"Apple to limit occupancy, mandate masks at US stores amid Omicron fears. Apple is reinstating its mask mandate at US stores and will limit store occupancy amid Omicron COVID-19 variant scare. ""Amid rising cases...we now require that all customers join our team members in wearing masks while visiting our stores,"" Apple said. ""We will adjust our health measures in stores to support the well-being of customers and employees,"" it added.",apple limit occupancy mandate mask us store amid omicron fear apple reinstate mask mandate us store limit store occupancy amid omicron covid variant scare amid rise case require customer join team member wear mask visit store apple say adjust health measure store support well customer employee add
Tesla US employee says she barricaded herself to stop men from staring at her,"One of the six more Tesla US employees who have sued Tesla over workplace harassment told The Washington Post that she barricaded herself with boxes to stop the unwanted attention she received and to stop the men gawking at her. Jessica Brooks alleges a supervisor told his subordinates to ""check out the new girl"" on her first day of orientation.",technology,"Tesla US employee says she barricaded herself to stop men from staring at her. One of the six more Tesla US employees who have sued Tesla over workplace harassment told The Washington Post that she barricaded herself with boxes to stop the unwanted attention she received and to stop the men gawking at her. Jessica Brooks alleges a supervisor told his subordinates to ""check out the new girl"" on her first day of orientation.",tesla us employee say barricade stop man stare one six tesla employee sue tesla workplace harassment tell washington post barricade box stop unwanted attention receive stop man gawk jessica brooks allege supervisor tell subordinate check new girl first day orientation
"WhatsApp crashing randomly on iPhone, issue yet to be resolved","Many iPhone users globally, including those using the latest iPhone 13, complained of WhatsApp crashing randomly as soon as they try to launch the application. According to reports, the issue has occurred on older versions of iOS and WhatsApp's beta version too, indicating that it is not a result of the latest iOS update.",technology,"WhatsApp crashing randomly on iPhone, issue yet to be resolved. Many iPhone users globally, including those using the latest iPhone 13, complained of WhatsApp crashing randomly as soon as they try to launch the application. According to reports, the issue has occurred on older versions of iOS and WhatsApp's beta version too, indicating that it is not a result of the latest iOS update.",whatsapp crash randomly iphone issue yet resolve many iphone user globally include use late iphone complain whatsapp crash randomly soon try launch application accord report issue occur old version io whatsapps beta version indicate not result late io update
TVS Motor and BMW Motorrad partner to make EVs in India,"TVS Motor and BMW's motorcycle brand have announced that they will develop electric vehicles (EVs) in India. TVS shares jumped as much as 7.4% after media reports said the companies were likely to announce a partnership for making and exporting electric vehicles from India. The first product from this partnership will be showcased in the next 24 months, TVS said.",technology,"TVS Motor and BMW Motorrad partner to make EVs in India. TVS Motor and BMW's motorcycle brand have announced that they will develop electric vehicles (EVs) in India. TVS shares jumped as much as 7.4% after media reports said the companies were likely to announce a partnership for making and exporting electric vehicles from India. The first product from this partnership will be showcased in the next 24 months, TVS said.",tvs motor bmw motorrad partner make evs india tvs motor bmws motorcycle brand announce develop electric vehicle evs india tv share jump much media report say company likely announce partnership make export electric vehicle india first product partnership showcase next month tv say
"'Suspicious death' reported at Tesla US parking lot, police opens probe","A ""suspicious death"" occurred at the Tesla factory parking lot in Fremont, California, on Monday afternoon, local police and fire department said. ""On December 13...Fremont Fire Department personnel responded to Tesla on a report of a subject down in the parking lot. Firefighters provided medical aid and pronounced the subject deceased,"" the police said.


",technology,"'Suspicious death' reported at Tesla US parking lot, police opens probe. A ""suspicious death"" occurred at the Tesla factory parking lot in Fremont, California, on Monday afternoon, local police and fire department said. ""On December 13...Fremont Fire Department personnel responded to Tesla on a report of a subject down in the parking lot. Firefighters provided medical aid and pronounced the subject deceased,"" the police said.


",suspicious death report tesla parking lot police open probe suspicious death occur tesla factory parking lot fremont california monday afternoon local police fire department say december fremont fire department personnel respond tesla report subject parking lot firefighter provide medical aid pronounce subject deceased police say
S Korea to test AI-powered face recognition to track COVID-19 cases,"South Korea is planning to soon roll out a pilot project using artificial intelligence, facial recognition and thousands of CCTV cameras to track people infected with COVID-19. Reuters reported that the project is due for launch in January 2022 in Bucheon, which is located on the outskirts of Seoul. Bucheon is one of the country's most densely populated cities.",technology,"S Korea to test AI-powered face recognition to track COVID-19 cases. South Korea is planning to soon roll out a pilot project using artificial intelligence, facial recognition and thousands of CCTV cameras to track people infected with COVID-19. Reuters reported that the project is due for launch in January 2022 in Bucheon, which is located on the outskirts of Seoul. Bucheon is one of the country's most densely populated cities.",korea test ai power face recognition track covid case south korea plan soon roll pilot project use artificial intelligence facial recognition thousand cctv camera track people infect covid reuters report project due launch january bucheon locate outskirt seoul bucheon one country densely populate city
E-scooters banned from London's public transport amid fire concerns,"Transport for London (TfL), the local body responsible for all public transport facilities in London, has banned entry of electric scooters on any of its premises or services amid rising fire concerns. This comes after an e-scooter burst into flames on the Tube at Parsons Green station last month. TfL cited possibility of ""significant harm"" to travellers while issuing ban.",technology,"E-scooters banned from London's public transport amid fire concerns. Transport for London (TfL), the local body responsible for all public transport facilities in London, has banned entry of electric scooters on any of its premises or services amid rising fire concerns. This comes after an e-scooter burst into flames on the Tube at Parsons Green station last month. TfL cited possibility of ""significant harm"" to travellers while issuing ban.",e scooter ban london public transport amid fire concern transport london tfl local body responsible public transport facility london ban entry electric scooter premise service amid rise fire concern come e scooter burst flame tube parson green station last month tfl cite possibility significant harm traveller issue ban
Google to fire US employees who don't follow vaccination rules: Report,"Google has told its US employees they would lose pay and eventually be fired if they don't follow its COVID-19 vaccination rules, CNBC reported citing internal documents. The employees were told they had until December 3 to declare their vaccination status or apply for an exemption. Employees who don't comply with rules will first be placed on ""paid administrative leave"".",technology,"Google to fire US employees who don't follow vaccination rules: Report. Google has told its US employees they would lose pay and eventually be fired if they don't follow its COVID-19 vaccination rules, CNBC reported citing internal documents. The employees were told they had until December 3 to declare their vaccination status or apply for an exemption. Employees who don't comply with rules will first be placed on ""paid administrative leave"".",google fire employee not follow vaccination rule report google tell us employee would lose pay eventually fire not follow covid vaccination rule cnbc report cite internal document employee tell december declare vaccination status apply exemption employee not comply rule first place pay administrative leave
Facebook parent acquires name rights for 'Meta' for $60 million,"Facebook's parent company Meta Platforms has acquired the trademark assets of US-based regional bank Meta Financial Group for $60 million in cash. Meta Financial and its subsidiary MetaBank will have one year to remove ""Meta"" from its name and all branding. Earlier in October, Facebook CEO Mark Zuckerberg announced that the parent company would change its name to Meta.",technology,"Facebook parent acquires name rights for 'Meta' for $60 million. Facebook's parent company Meta Platforms has acquired the trademark assets of US-based regional bank Meta Financial Group for $60 million in cash. Meta Financial and its subsidiary MetaBank will have one year to remove ""Meta"" from its name and all branding. Earlier in October, Facebook CEO Mark Zuckerberg announced that the parent company would change its name to Meta.",facebook parent acquire name right meta million facebook parent company meta platform acquire trademark asset base regional bank meta financial group million cash meta financial subsidiary metabank one year remove meta name branding early october facebook ceo mark zuckerberg announce parent company would change name meta
US to add 8 Chinese companies to investment blacklist: Report,"The US will add eight Chinese firms, including commercial drone manufacturer DJI Technology, to an investment blacklist this week, the Financial Times reported. The government will put the firms on its ""Chinese military-industrial complex companies"" blacklist because of their alleged involvement in surveillance of Uyghur Muslims. US investors are barred from taking stakes in blacklisted companies.",technology,"US to add 8 Chinese companies to investment blacklist: Report. The US will add eight Chinese firms, including commercial drone manufacturer DJI Technology, to an investment blacklist this week, the Financial Times reported. The government will put the firms on its ""Chinese military-industrial complex companies"" blacklist because of their alleged involvement in surveillance of Uyghur Muslims. US investors are barred from taking stakes in blacklisted companies.",add chinese company investment blacklist report us add eight chinese firm include commercial drone manufacturer dji technology investment blacklist week financial time report government put firm chinese military industrial complex company blacklist allege involvement surveillance uyghur muslims investor bar take stake blacklist company
Nothing linking Tesla accident in Paris to technical issue: Minister,"French Transport Minister Jean-Baptiste Djebbari has said there is no suggestion yet that a fatal accident in Paris involving a Tesla car was linked to a technical problem. The minister said he spoke with the chief executive of Tesla Europe who told him there had been no safety alerts about that model. Twenty people were reportedly injured in the accident.

",technology,"Nothing linking Tesla accident in Paris to technical issue: Minister. French Transport Minister Jean-Baptiste Djebbari has said there is no suggestion yet that a fatal accident in Paris involving a Tesla car was linked to a technical problem. The minister said he spoke with the chief executive of Tesla Europe who told him there had been no safety alerts about that model. Twenty people were reportedly injured in the accident.

",nothing link tesla accident paris technical issue minister french transport minister jean baptiste djebbari say no suggestion yet fatal accident paris involve tesla car link technical problem minister say speak chief executive tesla europe tell no safety alert model twenty people reportedly injure accident
England name their 12-man squad for 2nd Ashes Test,"England have named a 12-player squad for the second Ashes Test match at the Adelaide Oval starting on Thursday. Fast bowler James Anderson has been included in the squad after missing the first Test in Brisbane. Fast bowler Mark Wood, who featured in the first Test, has been rested. Australia lead the five-match series 1-0.",sports,"England name their 12-man squad for 2nd Ashes Test. England have named a 12-player squad for the second Ashes Test match at the Adelaide Oval starting on Thursday. Fast bowler James Anderson has been included in the squad after missing the first Test in Brisbane. Fast bowler Mark Wood, who featured in the first Test, has been rested. Australia lead the five-match series 1-0.",england name man squad nd ashe test england name player squad second ashe test match adelaide oval start thursday fast bowler james anderson include squad miss first test brisbane fast bowler mark wood feature first test rest australia lead five match series
I was lost and disappointed: Suryakumar on his 'Main Hoon Na' celebration in IPL 2020,"Opening up about his 'Main Hoon Na' celebration against RCB in IPL 2020, MI and India batter Suryakumar Yadav said he was lost and disappointed prior to the match as he wasn't picked in India squad. He added, ""It...happened instinctively...I hadn't planned anything. Everything happened according to what was happening...there."" Suryakumar was also sledged by Kohli in the match.",sports,"I was lost and disappointed: Suryakumar on his 'Main Hoon Na' celebration in IPL 2020. Opening up about his 'Main Hoon Na' celebration against RCB in IPL 2020, MI and India batter Suryakumar Yadav said he was lost and disappointed prior to the match as he wasn't picked in India squad. He added, ""It...happened instinctively...I hadn't planned anything. Everything happened according to what was happening...there."" Suryakumar was also sledged by Kohli in the match.",I lose disappointed suryakumar main hoon na celebration ipl open main hoon na celebration rcb ipl mi india batter suryakumar yadav say lose disappoint prior match not pick india squad add happen instinctively I not plan anything everything happen accord happen suryakumar also sledge kohli match
"Rohit is a very able & tactically sound captain, he will have my absolute support: Kohli","Virat Kohli has said that Team India's white-ball skipper Rohit Sharma is a very able and tactically sound captain. ""We have seen that in the games for India and in IPL as well,"" he added. ""Rahul Dravid is a very balanced coach and a great man manager. Both of them will have my absolute support,"" said Kohli.",sports,"Rohit is a very able & tactically sound captain, he will have my absolute support: Kohli. Virat Kohli has said that Team India's white-ball skipper Rohit Sharma is a very able and tactically sound captain. ""We have seen that in the games for India and in IPL as well,"" he added. ""Rahul Dravid is a very balanced coach and a great man manager. Both of them will have my absolute support,"" said Kohli.",rohit able tactically sound captain absolute support kohli virat kohli say team india white ball skipper rohit sharma able tactically sound captain see game india ipl well add rahul dravid balanced coach great man manager absolute support say kohli
"Latest rankings for T20I batters released, Pakistan's Babar Azam dethroned from top spot","The latest rankings for T20I batters has been released by the ICC, with Pakistan captain being dethroned from the top spot. Babar has dropped down to the third spot with England's Dawid Malan becoming the new number one T20I batter. South Africa's AIden Markram is ranked second. KL Rahul (fifth) is the only Indian batter in the top 10.",sports,"Latest rankings for T20I batters released, Pakistan's Babar Azam dethroned from top spot. The latest rankings for T20I batters has been released by the ICC, with Pakistan captain being dethroned from the top spot. Babar has dropped down to the third spot with England's Dawid Malan becoming the new number one T20I batter. South Africa's AIden Markram is ranked second. KL Rahul (fifth) is the only Indian batter in the top 10.",late ranking ti batter release pakistans babar azam dethrone top spot late ranking ti batter release icc pakistan captain dethrone top spot babar drop third spot england dawid malan become new number one ti batter south africas aiden markram rank second kl rahul fifth indian batter top
India to face Pak on March 6 as schedule for Women's Cricket World Cup 2022 announced,"The full updated fixture list of ICC Women's Cricket World Cup 2022 has been released. The tournament is set to get underway on March 4, 2022 at Bay Oval in Tauranga, with the hosts New Zealand playing West Indies. India will begin their campaign against Pakistan on March 6. A total of 31 matches will be played across 31 days.",sports,"India to face Pak on March 6 as schedule for Women's Cricket World Cup 2022 announced. The full updated fixture list of ICC Women's Cricket World Cup 2022 has been released. The tournament is set to get underway on March 4, 2022 at Bay Oval in Tauranga, with the hosts New Zealand playing West Indies. India will begin their campaign against Pakistan on March 6. A total of 31 matches will be played across 31 days.",india face pak march schedule womens cricket world cup announce full update fixture list icc women cricket world cup release tournament set get underway march bay oval tauranga host new zealand play west indie india begin campaign pakistan march total match play across day
"Latest rankings for Test batters out, only 2 Indians in top 10","ICC today released latest rankings for Test batters. The top 10 features only two Indians: Rohit Sharma and Virat Kohli. Australia's Travis Head, who smashed 152 runs in the first Ashes Test, has jumped 16 spots to be ranked joint tenth with South Africa's Quinton de Kock. Meanwhile, Australia's Marnus Labuschagne jumped two spots to be ranked second.",sports,"Latest rankings for Test batters out, only 2 Indians in top 10. ICC today released latest rankings for Test batters. The top 10 features only two Indians: Rohit Sharma and Virat Kohli. Australia's Travis Head, who smashed 152 runs in the first Ashes Test, has jumped 16 spots to be ranked joint tenth with South Africa's Quinton de Kock. Meanwhile, Australia's Marnus Labuschagne jumped two spots to be ranked second.",late ranking test batter indians top icc today release late ranking test batter top feature two indian rohit sharma virat kohli australias travis head smash run first ashe test jump spot rank joint tenth south africas quinton de kock meanwhile australias marnus labuschagne jump two spot rank second
"Sidhu shares photo with Harbhajan, says 'picture loaded with possibilities'","Punjab Congress chief Navjot Singh Sidhu took to Twitter to share a photo of himself with veteran Indian cricketer Harbhajan Singh on Wednesday. ""Picture loaded with possibilities...with Bhajji, the shining star,"" Sidhu captioned the photo. This led to speculations that Harbhajan could join Congress ahead of the Punjab assembly elections.",sports,"Sidhu shares photo with Harbhajan, says 'picture loaded with possibilities'. Punjab Congress chief Navjot Singh Sidhu took to Twitter to share a photo of himself with veteran Indian cricketer Harbhajan Singh on Wednesday. ""Picture loaded with possibilities...with Bhajji, the shining star,"" Sidhu captioned the photo. This led to speculations that Harbhajan could join Congress ahead of the Punjab assembly elections.",sidhu share photo harbhajan say picture load possibility punjab congress chief navjot singh sidhu take twitter share photo veteran indian cricketer harbhajan singh wednesday picture load possibility bhajji shine star sidhu caption photo lead speculation harbhajan could join congress ahead punjab assembly election
Pak fans troll PCB for pic showing empty stadium seats captioned 'Thank You Karachi',"Pakistani cricket fans trolled the PCB after it shared a photo on Twitter showing barely-occupied stadium seats, captioned, ""Thank You Karachi!!"" A fan tweeted, ""They made all the crowd in the stadium sit in one place for a picture and still empty chairs are visible."" A user tweeted, ""What for?"" while another said, ""This is how political parties showcase rallies."" ",sports,"Pak fans troll PCB for pic showing empty stadium seats captioned 'Thank You Karachi'. Pakistani cricket fans trolled the PCB after it shared a photo on Twitter showing barely-occupied stadium seats, captioned, ""Thank You Karachi!!"" A fan tweeted, ""They made all the crowd in the stadium sit in one place for a picture and still empty chairs are visible."" A user tweeted, ""What for?"" while another said, ""This is how political parties showcase rallies."" ",pak fans troll pcb pic show empty stadium seat caption thank karachi pakistani cricket fan troll pcb share photo twitter show barely occupy stadium seat caption thank karachi fan tweet make crowd stadium sit one place picture still empty chair visible user tweet another say political party showcase rally
"Kohli contradicts Ganguly, says 'I wasn't told to not leave T20I captaincy'",India Test captain Virat Kohli has revealed that he wasn't told to not leave T20I captaincy when he informed the BCCI that T20 World Cup 2021 would be his last assignment as India's T20I captain. This comes after BCCI President Sourav Ganguly claimed that BCCI requested Kohli to not leave T20I captaincy as they were not planning to change captains.,sports,"Kohli contradicts Ganguly, says 'I wasn't told to not leave T20I captaincy'. India Test captain Virat Kohli has revealed that he wasn't told to not leave T20I captaincy when he informed the BCCI that T20 World Cup 2021 would be his last assignment as India's T20I captain. This comes after BCCI President Sourav Ganguly claimed that BCCI requested Kohli to not leave T20I captaincy as they were not planning to change captains.",kohli contradict ganguly say I not tell not leave ti captaincy india test captain virat kohli reveal not tell not leave ti captaincy inform bcci world cup would last assignment india ti captain come bcci president sourav ganguly claim bcci request kohli not leave ti captaincy not plan change captain
Really sad to see Agüero retiring the way he did: India goalkeeper Sandhu,"Reacting to Argentinian forward Sergio Agüero retiring from football aged 33 due to a heart condition, India goalkeeper Gurpreet Singh Sandhu tweeted, ""Really sad to see...Agüero having to call time on a phenomenal career the way he did."" He added, ""Also a reminder of how much we should cherish every single time we get to step on...football pitch.""",sports,"Really sad to see Agüero retiring the way he did: India goalkeeper Sandhu. Reacting to Argentinian forward Sergio Agüero retiring from football aged 33 due to a heart condition, India goalkeeper Gurpreet Singh Sandhu tweeted, ""Really sad to see...Agüero having to call time on a phenomenal career the way he did."" He added, ""Also a reminder of how much we should cherish every single time we get to step on...football pitch.""",really sad see aguero retire way india goalkeeper sandhu react argentinian forward sergio aguero retire football age due heart condition india goalkeeper gurpreet singh sandhu tweet really sad see aguero call time phenomenal career way add also reminder much cherish every single time get step football pitch
